"category","matchLevel","synset","synset words","synset gloss"
"1Shelves","0","n4197095","shelf","a support that consists of a horizontal surface for holding objects"
"2Shelves","0","n4197095","shelf","a support that consists of a horizontal surface for holding objects"
"3Shelves","0","n4197095","shelf","a support that consists of a horizontal surface for holding objects"
"4Shelves","0","n4197095","shelf","a support that consists of a horizontal surface for holding objects"
"5Shelves","0","n4197095","shelf","a support that consists of a horizontal surface for holding objects"
"6Shelves","0","n4197095","shelf","a support that consists of a horizontal surface for holding objects"
"7Shelves","0","n4197095","shelf","a support that consists of a horizontal surface for holding objects"
"AAABattery","1","n2813606","battery,electric battery","a device that produces electricity; may have several primary or secondary cells arranged in parallel or series"
"AABattery","1","n2813606","battery,electric battery","a device that produces electricity; may have several primary or secondary cells arranged in parallel or series"
"AccentChair","1","n3005231","chair","a seat for one person, with a support for the back; ""he put his coat over the back of the chair and sat down"""
"AccentTable","1","n4386330","table","a piece of furniture having a smooth flat top that is usually supported by one or more vertical legs; ""it was a sturdy table"""
"Airplane","0","n2694015","airplane,aeroplane,plane","an aircraft that has a fixed wing and is powered by propellers or jets; ""the flight was delayed due to trouble with the airplane"""
"Animal","0","n15568","animal,animate being,beast,brute,creature,fauna","a living organism characterized by voluntary movement"
"Apple","0","n7755101","apple","fruit with red or yellow or green skin and sweet to tart crisp whitish flesh"
"Armoire","0","n2742555","armoire","a large wardrobe or cabinet; originally used for storing weapons"
"Backpack","0","n2772753","backpack,back pack,knapsack,packsack,rucksack,haversack","a bag carried by a strap on your back or shoulder"
"Bag","0","n2776042","bag","a flexible container with a single opening; ""he stuffed his laundry into a large bag"""
"Ball","0","n2781674","ball","round object that is hit or thrown or kicked in games; ""the ball travelled 90 mph on his serve""; ""the mayor threw out the first ball""; ""the ball rolled into the corner pocket"""
"BarCounter","1","n3121181","counter","table consisting of a horizontal surface over which business is transacted"
"BarTable","1","n4386330","table","a piece of furniture having a smooth flat top that is usually supported by one or more vertical legs; ""it was a sturdy table"""
"Barstool","1","n4334034","stool","a simple seat without a back or arms"
"Basket","0","n2805104","basket,handbasket","a container that is usually woven and has handles"
"Bathtub","0","n2811600","bathtub,bathing tub,tub","a relatively large open container that you fill with water and use to wash the body"
"Battery","0","n2813606","battery,electric battery","a device that produces electricity; may have several primary or secondary cells arranged in parallel or series"
"BeanBag","0","n2819791","beanbag","a small cloth bag filled with dried beans; thrown in games"
"Bear","0","n2134305","bear","massive plantigrade carnivorous or omnivorous mammals with long shaggy coats and strong claws"
